Sex,Ageyrs,L,M,S,P3,P10,P50,P90,P97
2,13.00,0.53,3.8,0.57,0.8,1.4,3.8,7.3,9.0
2,13.25,0.50,3.3,0.62,0.6,1.1,3.3,6.6,8.3
2,13.50,0.48,2.8,0.67,0.4,0.9,2.8,6.0,7.6
2,13.75,0.45,2.4,0.71,0.3,0.7,2.4,5.3,6.9
2,14.00,0.43,2.0,0.75,0.2,0.5,2.0,4.7,6.1
2,14.25,0.41,1.7,0.79,0.2,0.4,1.7,4.0,5.3
2,14.50,0.38,1.4,0.82,0.1,0.3,1.4,3.5,4.7
2,14.75,0.36,1.2,0.84,0.1,0.3,1.2,3.0,4.1
2,15.00,0.34,1.0,0.87,0.1,0.2,1.0,2.6,3.6
2,15.25,0.31,0.9,0.89,0.1,0.2,0.9,2.4,3.3
2,15.50,0.29,0.8,0.91,0.1,0.2,0.8,2.1,3.0
2,15.75,0.27,0.7,0.92,0.1,0.2,0.7,2.0,2.8
2,16.00,0.24,0.6,0.94,0.1,0.1,0.6,1.8,2.6
2,16.25,0.22,0.5,0.95,0.1,0.1,0.5,1.6,2.4
2,16.50,0.19,0.5,0.96,0.1,0.1,0.5,1.5,2.3
2,16.75,0.17,0.5,0.97,0.1,0.1,0.5,1.5,2.3
2,17.00,0.15,0.4,0.98,0.1,0.1,0.4,1.5,2.3
2,17.25,0.12,0.4,0.99,0.1,0.1,0.4,1.5,2.3
2,17.50,0.10,0.4,1.00,0.0,0.1,0.4,1.4,2.3
